907;426;4;2
890;666;1;2
115;597;1;3
55;800;2;1
282;428;1;3
10;167;2;1
678;639;5;3
11;562;2;0
39;581;5;0
416;964;1;0
867;393;1;0
188;172;4;2
95;610;1;3
715;296;3;1
498;514;1;1
473;278;3;1
429;597;2;1
984;336;3;0
792;447;3;2
677;661;4;1
195;512;1;0
989;290;4;1
542;682;5;3
383;127;5;3
629;400;4;0
66;278;4;2
818;522;5;0
655;941;3;0
413;906;3;0
669;781;5;2
887;805;5;3
640;12;4;2
790;99;4;2
445;462;2;3
82;647;3;1
721;798;1;3
225;164;2;0
342;212;2;0
152;270;5;0
168;419;4;2
363;406;4;0
979;441;5;0
241;989;4;2
110;150;4;0
716;542;5;2
765;104;2;0
106;904;3;0
687;278;4;2
875;904;5;2
807;895;2;3
793;134;3;2
906;272;5;3
645;19;3;2
851;698;4;3
950;792;4;3
832;626;5;0
86;343;4;3
552;110;2;0
971;4;1;1
989;999;5;1
293;732;3;0
660;186;3;0
80;780;2;2
359;988;2;1
72;320;2;3
670;797;1;0
470;781;2;1
869;834;5;3
104;677;2;3
964;928;3;1
154;483;4;0
312;423;2;2
910;286;3;1
256;928;5;0
799;543;3;2
901;853;4;2
968;658;1;3
527;841;3;1
143;203;4;1
106;329;2;0
33;975;4;0
573;270;2;3
443;182;3;2
727;819;5;3
574;594;1;2
648;741;1;1
836;392;1;3
793;556;4;3
673;837;1;0
530;282;2;2
430;52;3;1
963;979;3;1
137;600;1;1
585;782;5;1
199;902;3;0
696;272;4;3
141;155;3;1
35;763;1;3
147;980;4;0
749;906;1;1
831;812;3;3
804;489;2;0
937;404;5;0
936;292;5;3
469;314;1;0
101;755;4;3
766;679;3;0
234;850;4;3
363;908;1;3
55;870;4;3
801;543;5;3
791;93;4;0
277;907;2;1
933;198;1;2
395;830;5;3
811;932;3;2
337;678;3;0
931;665;1;2
814;279;4;0
713;33;3;1
29;95;2;0
532;551;3;3
434;265;4;3
337;930;1;1
750;614;3;3
485;917;1;0
804;97;4;2
868;138;4;0
257;605;3;1
832;613;1;2
881;616;2;3
549;547;2;3
536;771;1;0
413;249;2;2
139;326;5;1
649;572;4;3
129;973;5;1
160;391;2;2
533;477;2;2
361;813;1;3
799;143;3;1
261;877;5;0
978;487;3;2
443;64;2;2
461;690;3;1
521;941;2;0
898;263;5;0
568;487;4;2
517;520;4;2
136;610;2;3
820;704;1;1
428;129;1;3
183;193;2;0
612;308;2;3
211;378;5;2
377;60;1;2
356;832;2;3
682;733;2;2
117;581;3;0
470;377;1;1
920;287;5;0
277;921;5;0
591;458;2;0
934;78;1;2
957;406;5;1
286;349;2;1
900;296;5;0
976;666;2;1
508;790;3;0
621;516;2;0
17;83;4;0
774;256;4;2
735;703;2;1
770;782;4;3
146;128;4;0
423;235;4;3
122;524;3;1
236;784;3;2
121;308;5;0
322;951;1;0
777;257;3;3
653;297;4;1
963;727;2;1
13;685;3;0
925;174;3;1
949;445;4;1
741;901;5;3
728;820;5;3
112;75;2;3
308;242;2;2
938;19;1;1
688;482;4;2
129;508;4;3
164;549;1;3
911;466;2;3
537;703;1;1
345;806;2;1
254;465;4;2
300;83;5;2
257;702;5;0
426;155;5;3
522;307;4;3
563;339;5;0
224;664;4;3
557;188;1;0
596;786;4;2
281;387;2;1
140;227;4;1
484;833;2;1
344;291;5;3
183;902;3;0
112;416;2;3
865;720;2;0
188;846;3;3
811;923;1;1
290;109;2;2
227;610;1;3
199;221;5;1
941;687;1;3
42;218;3;3
985;821;3;2
552;53;4;2
788;47;5;3
58;332;4;3
520;311;3;0
800;245;5;2
555;755;4;1
652;436;3;0
434;48;4;2
443;304;4;1
27;490;1;3
294;658;3;1
449;882;1;3
669;11;3;2
564;605;3;2
458;629;4;2
989;899;4;0
805;612;5;3
780;846;4;3
637;871;2;0
274;734;2;0
588;364;3;3
821;128;1;3
518;723;3;1
972;18;3;3
322;805;4;1
162;497;2;3
163;50;2;1
226;538;4;3
760;690;3;2
751;916;3;0
362;995;4;3
16;648;3;3
528;465;5;2
858;104;1;2
24;889;5;0
689;293;2;3
205;189;3;2
435;700;1;3
410;410;4;0
413;590;5;0
268;788;3;2
759;648;2;2
224;924;5;3
149;854;5;1
138;883;2;3
350;452;2;1
54;343;3;3
511;401;2;2
1000;365;5;0
919;858;4;0
742;900;3;3
972;772;4;0
796;947;3;3
17;30;4;3
686;57;4;2
730;120;1;1
763;503;3;1
532;519;4;2
788;496;2;2
328;159;3;1
462;831;1;3
885;499;1;3
920;723;5;1
886;767;2;0
457;691;1;3
933;254;3;2
435;974;2;3
766;738;4;1
836;48;3;2
27;293;1;2
415;257;3;3
359;25;4;1
140;762;4;2
342;470;1;3
974;804;3;1
815;704;1;3
64;724;4;1
689;160;3;3
110;242;2;1
988;256;2;1
293;88;5;3
513;214;5;3
180;944;4;0
357;975;5;3
925;450;4;3
152;583;3;2
292;659;4;2
934;694;1;3
227;892;2;3
977;303;4;1
649;529;3;2
423;695;5;0
642;3;2;1
380;984;4;2
550;936;5;2
529;200;2;2
860;303;4;2
346;50;4;2
168;219;1;3
540;457;2;1
908;500;3;3
497;459;2;0
531;773;5;0
567;190;2;2
987;648;1;0
338;339;5;1
544;189;1;3
281;163;2;0
869;948;3;0
786;140;3;1
1;188;3;2
197;137;2;3
599;309;1;3
127;584;2;1
747;192;4;2
28;73;4;2
679;895;3;1
257;469;4;0
102;739;1;0
19;154;1;1
118;534;5;1
18;406;5;0
165;775;4;3
481;684;3;0
310;584;4;3
783;741;2;1
723;252;4;3
50;468;2;1
957;704;1;3
458;256;2;0
211;91;5;1
186;344;4;1
577;854;5;1
322;474;4;2
786;214;3;3
455;437;2;2
899;588;5;1
301;269;4;3
161;49;3;0
83;179;1;2
640;537;4;2
257;570;1;0
343;492;3;3
102;539;2;0
975;465;5;2
297;235;4;3
840;336;3;2
649;243;4;1
193;672;2;0
901;611;5;1
806;804;3;3
245;426;4;1
180;246;1;0
3;821;4;2
955;123;1;1
447;154;5;2
298;265;4;1
884;340;2;0
81;55;3;1
992;692;5;0
601;165;5;3
973;831;3;2
902;89;3;2
209;506;5;2
135;42;2;3
230;878;4;3
383;678;3;0
686;262;4;3
443;165;3;1
560;603;1;2
60;81;1;2
16;694;1;2
792;148;2;2
390;627;2;2
500;896;5;0
105;972;4;0
282;349;4;1
322;473;3;0
141;908;4;0
729;398;5;0
445;8;5;1
121;210;1;1
356;924;1;2
36;799;1;0
471;873;4;1
511;35;5;1
879;329;5;3
666;490;4;1
417;250;2;1
806;306;3;1
844;181;5;2
595;369;1;0
127;630;4;3
197;66;4;1
983;413;1;0
888;33;2;0
166;644;2;0
276;548;3;2
404;20;3;1
718;26;3;3
165;766;5;2
220;597;4;0
381;42;1;0
252;631;2;2
919;563;5;2
689;489;2;0
851;991;5;0
696;171;2;0
959;700;1;1
396;145;1;3
623;903;4;0
830;947;5;0
684;485;5;2
470;970;2;1
679;429;1;3
298;577;5;0
123;650;1;0
832;836;1;0
358;961;5;1
809;597;4;3
748;591;2;3
649;473;2;3
212;752;3;0
173;272;4;3
538;689;5;2
274;468;4;2
169;503;5;2
60;99;1;3
190;766;4;2
630;18;2;0
371;684;2;0
842;712;1;3
650;499;4;3
386;869;3;0
291;561;5;0
812;776;1;2
284;128;1;2
183;262;5;0
639;58;4;3
888;196;4;3
21;827;1;2
743;284;4;2
592;492;4;1
691;378;3;1
457;256;1;2
481;551;2;1
808;549;1;0
150;500;1;0
959;390;5;1
589;217;5;1
27;628;1;0
334;612;1;2
936;28;5;2
322;630;1;1
732;220;2;0
242;447;4;3
942;259;1;1
468;270;3;3
377;813;3;2
610;58;3;2
332;736;4;3
196;834;1;3
264;997;1;3
547;512;1;1
815;438;5;1
622;871;4;3
660;781;3;2
625;925;2;3
44;165;1;3
48;276;1;3
890;824;4;1
218;230;4;0
760;586;3;0
397;475;1;0
534;854;4;3
830;354;2;3
247;397;2;1
795;85;5;3
811;260;2;2
199;760;2;2
466;690;3;2
381;285;5;2
782;261;1;2
805;902;4;2
821;344;2;1
811;488;4;1
773;166;1;0
201;855;5;3
256;496;1;3
148;506;3;0
432;335;1;2
332;441;4;2
531;430;5;3
532;6;3;3
344;720;4;3
380;749;5;2
556;26;2;0
658;105;4;0
616;991;3;0
615;351;3;1
104;669;3;0
482;398;5;1
41;628;3;2
128;142;2;2
59;173;2;2
982;603;5;3
610;687;3;1
598;685;4;3
70;435;2;2
702;522;5;3
150;128;3;2
203;289;2;0
965;437;2;3
565;286;4;2
384;758;3;0
497;382;4;2
534;431;2;2
56;128;5;3
283;979;5;3
603;12;3;2
131;44;3;1
76;157;2;0
12;395;1;1
164;265;5;1
951;806;4;0
749;759;4;1
141;235;5;0
974;453;1;1
98;160;4;1
137;24;4;2
505;102;1;1
394;834;1;3
415;769;3;0
608;450;3;2
30;301;5;1
250;785;2;1
106;958;1;0
69;220;3;0
489;426;5;2
71;958;3;1
104;328;4;1
19;145;2;0
598;304;1;0
119;894;4;2
55;482;4;1
580;690;3;3
936;256;5;2
926;616;5;2
519;954;4;2
729;622;4;3
978;360;1;2
8;831;2;3
768;415;5;3
168;837;3;3
91;951;3;0
413;363;5;1
892;392;4;0
887;888;3;1
67;489;3;1
416;132;5;3
695;987;4;3
938;594;1;1
178;726;2;2
383;599;3;0
324;959;4;1
198;206;3;2
918;696;3;1
558;708;4;0
336;492;1;0
716;796;2;2
353;353;2;1
280;470;2;2
284;405;4;3
632;359;5;2
539;865;5;2
540;604;5;2
657;930;1;0
523;973;4;2
296;581;2;0
749;347;2;3
820;617;3;1
338;870;1;0
254;405;3;1
463;176;4;3
167;48;5;0
493;681;3;1
750;85;1;3
738;490;2;2
814;584;2;3
65;140;5;3
572;229;4;2
750;391;2;3
193;814;1;3
645;62;4;0
909;389;3;0
693;862;2;2
559;52;3;2
520;731;4;2
511;438;4;3
104;240;5;2
604;88;2;0
387;161;5;3
135;546;3;3
967;92;4;2
857;231;3;3
855;788;1;3
470;273;3;2
194;122;2;1
806;270;2;2
548;769;2;2
440;1000;1;2
948;861;3;1
813;922;2;1
215;676;2;0
939;428;1;2
134;202;4;1
751;322;5;3
953;846;4;0
347;108;5;3
39;293;1;0
347;28;4;1
239;550;4;1
762;688;3;1
358;335;4;1
351;973;5;3
259;482;4;1
41;531;5;0
849;581;1;1
312;848;4;1
665;302;1;2
607;23;1;0
341;489;5;2
666;460;5;2
700;222;5;1
198;664;1;2
717;109;2;0
477;356;3;3
468;35;2;1
536;147;2;3
653;283;4;1
566;10;2;2
841;830;5;0
982;286;3;0
368;785;3;1
646;908;4;3
674;713;2;2
651;725;4;2
114;545;2;0
107;280;5;2
853;504;4;3
974;563;4;1
906;568;3;3
411;363;1;2
630;161;1;3
855;417;1;1
616;218;5;2
597;158;3;1
922;368;4;1
246;189;2;1
298;121;2;1
502;433;1;2
229;253;1;1
79;609;2;0
854;38;1;2
215;796;1;1
763;389;5;3
733;112;5;0
579;203;4;1
766;581;5;0
537;959;3;1
850;538;2;3
300;808;3;1
744;902;4;0
